stage,dataset,method,cell,seed,mae,rmse,r2,mae_raw,raw_pvr,proj_pvr,accept_rate,k0_labelfree,n_refine_iters
e2,calce,self_train,CS2_37,99,19.55451774597168,21.54087457239724,-0.8578013181686401,19.55451774597168,77.33847637415622,,,,
e2,calce,dann,CS2_37,99,23.59185218811035,26.722508644618657,-1.8590848445892334,23.59185218811035,83.12439729990356,,,,
e3,calce,hipif,CS2_37,99,5.061685318986901,6.139388625042076,0.8490883423193534,17.795578002929688,75.21697203471552,0.0,22.090004327131112,0.35,14.0
e4,calce,no_gate,CS2_37,99,6.179966522223998,9.15810750146556,0.6641974316508437,6.217985153198242,5.303760848601736,0.0,100.0,0.35,14.0
e4,calce,no_anchor,CS2_37,99,5.353323690976282,6.660277067985113,0.8223942051576717,12.737649917602539,76.47058823529412,0.0,22.544353093898746,0.35,14.0
e4,calce,no_projection,CS2_37,99,5.40437600274701,6.782252780814582,0.8158293233209727,19.046674728393555,73.09546769527483,0.0,23.647771527477282,0.35,14.0
e4,calce,direct_proj,CS2_37,99,5.19369462532218,6.429201434424094,0.8345043415873704,19.244516372680664,74.54194792671167,0.0,,,
e1,calce,direct,CS2_38,99,19.32124137878418,21.089816618222038,-0.7681200504302979,19.32124137878418,71.84014869888475,,,,
e2,calce,coral,CS2_38,99,18.810909271240234,21.74457912196523,-0.8796117305755615,18.810909271240234,63.56877323420075,,,,
e2,calce,self_train,CS2_38,99,19.629722595214844,21.571449258121326,-0.8497999906539917,19.629722595214844,77.60223048327137,,,,
e2,calce,dann,CS2_38,99,19.149185180664062,20.849517070199656,-0.7280572652816772,19.149185180664062,78.25278810408922,,,,
e3,calce,hipif,CS2_38,99,5.199223920974357,6.491351840395913,0.832491658825522,17.77027130126953,72.58364312267658,0.0,22.190704778529348,0.35,14.0
e4,calce,no_gate,CS2_38,99,6.456999751304834,8.842045812494614,0.6892066905225165,7.453426361083984,40.89219330855018,0.0,100.0,0.35,14.0
e4,calce,no_anchor,CS2_38,99,5.201433026807061,6.478919662119227,0.8331326653292703,18.808155059814453,73.42007434944237,0.0,21.754309404320317,0.35,14.0
e4,calce,no_projection,CS2_38,99,5.4215576779673444,6.891053649602896,0.8112280762242188,19.049198150634766,71.56133828996283,0.0,22.998036220816058,0.35,14.0
e4,calce,direct_proj,CS2_38,99,5.156267218972626,6.464019473182145,0.8338993041795693,19.32124137878418,71.84014869888475,0.0,,,
