stage,dataset,method,cell,seed,mae,rmse,r2,mae_raw,raw_pvr,proj_pvr,pvr_I1,pvr_I2,pvr_I3,pvr_I4,pvr_all
e5,nasa,drop_I1,B0018,1234,1.9469262677740615,2.211417196807065,0.9178348959265897,10.236161231994629,85.60606060606061,0.0,0.0,13.636363636363635,0.0,85.60606060606061,92.42424242424242
e5,nasa,drop_I2,B0018,1234,1.9455066294594001,2.2077737383144522,0.9181054179561399,9.835370063781738,83.33333333333334,0.0,0.0,9.090909090909092,0.0,83.33333333333334,87.12121212121212
e5,nasa,drop_I3,B0018,1234,2.0094370001228565,2.2950065170548504,0.9115059867725235,10.333807945251465,86.36363636363636,0.0,0.0,15.909090909090908,0.0,86.36363636363636,93.93939393939394
e5,nasa,drop_I4,B0018,1234,2.2404252029705054,2.6896656633145772,0.8784534483530171,2.1805684566497803,0.0,0.0,0.0,11.363636363636363,0.0,0.0,11.363636363636363
e6,nasa,calib_H0,B0018,1234,4.150284646334466,4.633721235289806,0.6392504061397397,3.4361631870269775,0.0,0.0,,,,,
e6,nasa,calib_H1,B0018,1234,1.9547151639553961,2.2170117207661644,0.9174186415039938,10.442025184631348,87.12121212121212,0.0,,,,,
e6,nasa,calib_H2,B0018,1234,1.9013564863717236,2.2047879509825856,0.9183267762026006,10.445395469665527,85.60606060606061,0.0,,,,,
e5,nasa,drop_I1,B0005,2718,2.747788283273884,2.935663467673747,0.9043525957469921,16.80092430114746,91.66666666666666,0.0,0.0,11.30952380952381,0.0,91.66666666666666,96.42857142857143
e5,nasa,drop_I2,B0005,2718,2.739651310103312,2.937332274378738,0.9042438214278483,16.52197265625,91.66666666666666,0.0,0.0,11.30952380952381,0.0,91.66666666666666,96.42857142857143
e5,nasa,drop_I3,B0005,2718,2.790853822846428,2.985596780381476,0.9010711503636509,17.253793716430664,91.66666666666666,0.0,0.0,8.333333333333332,0.0,91.66666666666666,94.64285714285714
e5,nasa,drop_I4,B0005,2718,2.5936244014555223,2.8158938591550116,0.9119978641080562,5.2828145027160645,72.02380952380952,0.0,0.0,14.880952380952381,0.0,66.07142857142857,78.57142857142857
e6,nasa,calib_H0,B0005,2718,1.4755224686295292,1.9716480583551514,0.9568560958521424,5.777737140655518,0.0,0.0,,,,,
e6,nasa,calib_H1,B0005,2718,2.6777421398898684,2.8760036481982922,0.9082006688781403,16.63772964477539,91.66666666666666,0.0,,,,,
e6,nasa,calib_H2,B0005,2718,2.689294857037829,2.8864213463005943,0.9075344181374783,16.78963279724121,91.66666666666666,0.0,,,,,
e5,nasa,drop_I1,B0006,2718,2.196070569315244,2.4922804676195836,0.9606527279320104,15.728520393371582,96.42857142857143,0.0,0.0,4.761904761904762,0.0,96.42857142857143,96.42857142857143
e5,nasa,drop_I2,B0006,2718,2.169519050844446,2.4802660291099423,0.9610311732462307,14.642290115356445,94.64285714285714,0.0,0.0,8.333333333333332,0.0,94.64285714285714,94.64285714285714
e5,nasa,drop_I3,B0006,2718,2.180897306061729,2.4683585037112543,0.9614044464556856,15.794184684753418,94.04761904761905,0.0,0.0,5.952380952380952,0.0,94.04761904761905,94.04761904761905
e5,nasa,drop_I4,B0006,2718,2.285707891613462,2.657568195481081,0.9552606535199876,4.1381707191467285,57.14285714285714,0.0,0.0,15.476190476190476,0.0,57.14285714285714,58.92857142857143
